objectid,parentid,display_template,title,creator,location_of_origin,creator_photographer,date,source,date_earliest,date_latest,objectt_ht,object_wd,object_mm,object_sm,description,subject,description_provenance,object_location,image_small,image_thumb,format_size,format
w_402056_1,w_402056,,Front (Portrait of Caterina Varano),,,,,,,,,,,,,,,/objects/402056_1_420720056.jpg,/objects/small/402056_1_420720056.jpg,/objects/thumb/402056_1_420720056.jpg,225 KB,JPG
w_402056_2,w_402056,,Verso (Portrait of Caterina Varano),,,,,,,,,,,,,,,/objects/402056_2_420720060.jpg,/objects/small/402056_2_420720060.jpg,/objects/thumb/402056_2_420720060.jpg,239 KB,JPG
w_110186,,compound_object,Rest on Flight (variant of the Ambrosiana),"Bassano, Jacopo (Artist; visual artist) 1510--1592",Venetian,,1510-1592,,1510,1592,120 cm (44 1/4 inches),155 cm (61 inches),,Canvas,"Mary sits at the center of the composition, holding the infant Jesus. Joseph rests on the ground next to her. Other figures surround the couple, including a donkey in the upper left corner of the image. The group is situated next to a tree.",Madonna; Saint Joseph; donkey,"Acquired in Florence c. 1871 by Sir John Leslie (owner); Desmond Leslie, Castle Leslie, Co. Monaghan, Eire (owner); Sotheby's sale, Dec. 12, 1973, lot 84 (auctioned)",,,,,
w_110186_1,w_110186,,Front (Rest on Flight (variant of the Ambrosiana)),,,,,,,,,,,,,,,/objects/110186_1_45936413.jpg,/objects/small/110186_1_45936413.jpg,/objects/thumb/110186_1_45936413.jpg,241 KB,JPG
w_110186_2,w_110186,,Verso (Rest on Flight (variant of the Ambrosiana)),,,,,,,,,,,,,,,/objects/110186_2_45936414.jpg,/objects/small/110186_2_45936414.jpg,/objects/thumb/110186_2_45936414.jpg,51 KB,JPG
w_109881,,compound_object,Rest on Flight,"Bordone, Paris (Artist; visual artist) 1500--1571",Venetian,,1500-1571,,1500,1571,48.7 cm (19 inches),68.8 cm (27 inches),,Canvas,"Mary and Joseph sit next to a stream, with hilly countryside stretching into the background. Joseph holds the infant Jesus. A donkey grazes in the far left of the image",Madonna; Saint Joseph; donkey,"Count Adam Potocki, Krakow (owner); Count Antoine Seilern, London (owner)",,,,,
w_109881_1,w_109881,,Front (Rest on Flight),,,,,"Canova, p. 105 fig. 109 as ca 1550",,,,,,,,,,/objects/109881_1_45942656.jpg,/objects/small/109881_1_45942656.jpg,/objects/thumb/109881_1_45942656.jpg,209 KB,JPG
w_109881_2,w_109881,,Verso (Rest on Flight),,,,,,,,,,,,,,,/objects/109881_2_45942657.jpg,/objects/small/109881_2_45942657.jpg,/objects/thumb/109881_2_45942657.jpg,64 KB,JPG
w_109833,,compound_object,Courtesan,"Bordone, Paris (Artist; visual artist) 1500--1571",Venetian,,1500-1571,,1500,1571,106.8 cm (45 inches),82.3 cm (32 3/8 inches),,Canvas,"A woman with long, flowing hair stands in front of a row of columns. A bit of cloudy sky is visible through a window in the upper right corner of the work. The woman wears a loose, flowing garment and cloak, and one of her breasts is exposed. ",woman; dress; architecture,"Oliver Vernon Watney, Cornbury Park, Charlbury, Oxfordshire (owner); Christie's, 23 June 1967, lot 57 (auctioned); J. Paul Getty, Sutton Place, Guildford, Surrey (owner); J. Paul Getty Museum, Malibu, 1978. Christie's sale, New York, 21 May 1992 lot 37 (auctioned)",,,,,
w_109833_1,w_109833,,Front (Courtesan),,,A.C. Cooper Ltd. (Photographer),,,,,,,,,,,,/objects/109833_1_45942540.jpg,/objects/small/109833_1_45942540.jpg,/objects/thumb/109833_1_45942540.jpg,216 KB,JPG
